c FILE : ./graphs/graph.txt
c 
c NODES : 225
c LATTICE SQUARE GRAPH
c 
c 
node 225
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
t 0 1 1
t 0 15 1
t 1 2 1
t 1 16 1
t 2 3 1
t 2 17 1
t 3 4 1
t 3 18 1
t 4 5 1
t 4 19 1
t 5 6 1
t 5 20 1
t 6 7 1
t 6 21 1
t 7 8 1
t 7 22 1
t 8 9 1
t 8 23 1
t 9 10 1
t 9 24 1
t 10 11 1
t 10 25 1
t 11 12 1
t 11 26 1
t 12 13 1
t 12 27 1
t 13 14 1
t 13 28 1
t 14 29 1
t 15 16 1
t 15 30 1
t 16 17 1
t 16 31 1
t 17 18 1
t 17 32 1
t 18 19 1
t 18 33 1
t 19 20 1
t 19 34 1
t 20 21 1
t 20 35 1
t 21 22 1
t 21 36 1
t 22 23 1
t 22 37 1
t 23 24 1
t 23 38 1
t 24 25 1
t 24 39 1
t 25 26 1
t 25 40 1
t 26 27 1
t 26 41 1
t 27 28 1
t 27 42 1
t 28 29 1
t 28 43 1
t 29 44 1
t 30 31 1
t 30 45 1
t 31 32 1
t 31 46 1
t 32 33 1
t 32 47 1
t 33 34 1
t 33 48 1
t 34 35 1
t 34 49 1
t 35 36 1
t 35 50 1
t 36 37 1
t 36 51 1
t 37 38 1
t 37 52 1
t 38 39 1
t 38 53 1
t 39 40 1
t 39 54 1
